Week,mlb: (Worldwide),nba: (Worldwide),nfl: (Worldwide),premier league: (Worldwide)
2021-05-09,18,52,8,36
2021-05-16,19,67,5,30
2021-05-23,18,92,4,19
2021-05-30,19,95,4,5
2021-06-06,20,79,4,3
2021-06-13,20,83,4,3
2021-06-20,21,84,5,3
2021-06-27,22,67,4,3
2021-07-04,23,51,4,3
2021-07-11,21,50,5,3
2021-07-18,21,50,5,4
2021-07-25,22,24,6,3
2021-08-01,20,19,10,5
2021-08-08,21,15,15,19
2021-08-15,23,12,17,21
2021-08-22,22,9,20,27
2021-08-29,20,9,20,15
2021-09-05,21,11,30,16
2021-09-12,23,10,52,23
2021-09-19,24,9,49,29
2021-09-26,27,9,47,22
2021-10-03,31,20,51,16
2021-10-10,33,20,51,15
2021-10-17,31,41,48,22
2021-10-24,17,50,44,28
2021-10-31,15,47,46,23
2021-11-07,3,47,44,15
2021-11-14,4,45,46,14
2021-11-21,3,45,55,19
2021-11-28,5,46,39,37
2021-12-05,3,42,42,26
2021-12-12,2,45,49,29
2021-12-19,2,43,74,19
2021-12-26,2,48,59,39
2022-01-02,2,50,62,21
2022-01-09,2,51,82,16
2022-01-16,2,46,100,24
2022-01-23,3,46,83,14
2022-01-30,3,47,54,9
2022-02-06,3,57,17,22
2022-02-13,3,47,23,23
2022-02-20,3,39,7,25
2022-02-27,5,45,8,19
2022-03-06,6,49,11,26
2022-03-13,7,46,15,27
2022-03-20,7,47,12,12
2022-03-27,8,50,9,13
2022-04-03,16,50,9,24
2022-04-10,24,60,9,25
2022-04-17,23,89,9,35
2022-04-24,21,89,28,25
2022-05-01,23,77,14,47
